Sample_Index,col0,col1
0,-58339,0
1,-61381,-19446
2,-49069,-44000
3,-20387,-53190
4,-18330,-58281
5,1125,-56205
6,7266,-70506
7,30803,-58189
8,63540,-35643
9,62486,-26414
10,53244,2257
11,41960,35008
12,27611,54438
13,-1060,63623
14,-41999,57451
15,-54260,20577
16,-50139,-10138
17,-56255,-26509
18,-44969,-35707
19,-39829,-55136
20,-15245,-68414
21,12397,-60192
22,23650,-49927
23,50250,-39667
24,61484,-8942
25,53266,20744
26,39935,48369
27,7164,58581
28,-32755,58553
29,-48091,23726
30,-58302,173
31,-58273,-9038
32,-63362,-10057
33,-51049,-36663
34,-27483,-54044
35,-11093,-63229
36,13477,-59104
37,33941,-51910
38,55418,-37555
39,55391,-9902
40,49223,6479
41,54317,35134
42,28703,55587
43,5149,58631
44,17429,53485
45,35844,56530
46,24568,49338
47,16369,57502
48,8174,59521
49,-4111,54375
50,-14343,64584
51,-27641,60459
52,-25580,57359
53,-41943,50167
54,-52157,46049
55,-55202,14299
56,-62339,10199
57,-62308,22477
58,-52042,35772
59,-46899,51108
60,-43805,49037
61,-48901,40826
62,-45806,50018
63,-41689,55112
64,-38598,40757
65,-39602,40738
66,-44700,42766
67,-52866,37628
68,-54887,39657
69,-49742,34521
70,-48694,38599
71,-45599,41651
72,-32271,42655
73,-29184,49799
74,-16887,53869
75,-9714,56914
76,-7662,58934
77,-15846,61976
78,-14814,60923
79,-28112,54753
80,-14792,54727
81,-14784,55724
82,-6588,54674
83,-2490,59765
84,2629,65877
85,8769,61751
86,10812,61721
87,24113,55550
88,25125,62688
89,13855,61634
90,22037,57510
91,-13796,56459
92,-12765,60526
93,-25040,52309
94,-15816,47166
95,-29113,54308
96,-22957,53258
97,-22945,56303
98,-9628,56276
99,7777,60343
100,22103,51103
101,34375,48008
102,14912,51056
103,40493,50008
104,32286,48961
105,18965,62243
106,12815,56072
107,4621,64233
108,-5616,68296
109,-5613,67240
110,-11751,61067
111,1560,54897
112,2583,55894
113,7700,58938
114,11791,69145
115,1550,62971
116,-4591,55776
117,-6635,51655
118,-19937,51630
119,-30162,52629
120,-29123,46463
121,-36273,49511
122,-31137,50511
123,-32145,48440
124,-20870,47393
125,-10624,58629
126,5758,55530
127,17014,51409
128,11889,60596
129,15978,52379
130,13924,57471
131,6753,47208
132,-6555,48209
133,-4504,60468
134,-5525,58392
135,-404,63481
136,-7568,57310
137,3695,51142
138,11882,59306
139,21088,57231
140,19031,46969
141,-424,48994
142,-5541,59206
143,-11679,58154
144,-21908,58126
145,-39296,31487
146,-53605,18167
147,-61766,-6405
148,-61735,-11519
149,-54540,-23795
150,-49395,-24806
151,-57558,-15582
152,-55482,-9433
153,-52384,-26827
154,-45193,-60589
155,-29818,-50324
156,-17521,-54393
157,-3183,-64601
158,28548,-58428
159,52075,-35882
160,64332,-1065
161,59184,13265
162,44827,35776
163,34571,48041
164,17155,58253
165,-252,58225
166,-20721,50009
167,-53462,26445
168,-59576,2892
169,-45217,-30884
170,-28818,-48268
171,3949,-62573
172,48982,-31837
173,67382,-6233
174,45856,31640
175,26388,50048
176,13070,56165
177,-6382,58185
178,-22754,49969
179,-38095,37663
180,-62640,2846
181,-54421,-22742
182,-40065,-47294
183,-14457,-60576
184,12162,-56452
185,50026,-35954
186,54096,-1137
187,45882,26499
188,33578,44910
189,32539,63312
190,13077,47929
191,2836,49953
192,-4329,57094
193,-34008,43761
194,-49343,51928
195,-53412,17104
196,-55432,-5421
197,-52334,-26911
198,-31838,-56579
199,4001,-62692
200,33681,-48332
201,53112,-43190
202,53087,-31910
203,62273,-17565
204,63267,-7321
205,57096,15200
206,52975,33616
207,23268,55094
208,2787,54044
209,-15637,60159
210,-40193,37613
211,-52455,30431
212,-62664,-10523
213,-47280,-40199
214,-39068,-44273
215,-31884,-53462
216,-19586,-66741
217,-6270,-63637
218,11133,-59511
219,25457,-54364
220,39774,-40008
221,48967,-26682
222,60202,-2104
223,56079,24509
224,38653,39850
225,8953,59278
226,-38132,49015
227,-50395,23404
228,-62652,21346
229,-58527,3937
230,-67709,-9370
231,-55393,-33929
232,-33872,-56429
233,-3150,-63565
234,30628,-56369
235,48013,-29730
236,49014,-1057
237,46944,34767
238,20311,58291
239,-35991,42911
240,-59513,7068
241,-59483,-16475
242,-55359,-28748
243,-51237,-23616
244,-23577,-57379
245,8164,-61444
246,38866,-46061
247,61365,-22498
248,55195,9242
249,50051,28684
250,34675,46070
251,-14469,50142
252,-59495,18390
253,-48207,-32793
254,-28736,-46082
255,-37933,-62435
256,-11303,-55240
257,18385,-65448
258,55223,-40852
259,55197,8296
260,44936,27739
261,27515,48196
262,-5250,55337
263,-31858,46099
264,-50265,14348
265,-56381,-26599
266,-19507,-62408
267,10185,-52142
268,968,-63375
269,12227,-55156
270,37809,-45917
271,56214,-36683
272,60281,-3913
273,55135,28841
274,57156,21663
275,50988,31888
276,43799,48249
277,30473,47202
278,-15599,56391
279,-29920,43058
280,-33999,47131
281,-7371,54273
282,20268,49129
283,18212,55247
284,15133,52150
285,796,52125
286,-13533,58241
287,-14549,60260
288,-8400,54090
289,-3278,56111
290,-14534,65296
291,-41137,46842
292,-54422,25326
293,-56442,34526
294,-51296,43721
295,-33871,57006
296,-19525,52885
297,-41008,51836
298,-44058,41576
299,-57341,29274
300,-59360,13908
301,-52166,24137
302,-44976,21055
303,-50071,8763
304,-57211,-44463
305,-28525,-65934
306,-2923,-66925
307,-12133,-67915
308,-19291,-54576
309,-9046,-62737
310,5288,-61682
311,16544,-50393
312,46218,-41156
313,59501,-12477
314,62543,-9400
315,55348,839
316,46110,39732
317,16406,58136
318,-28636,51967
319,-47045,40684
320,-47022,31453
321,-51093,29391
322,-65397,28354
323,-54106,12988
324,-48962,-17723
325,-44844,-50466
326,-22305,-61699
327,3294,-68833
328,12504,-64705
329,48321,-44203
330,53415,2900
331,47248,39745
332,6285,45867
333,-8047,53010
334,-27489,56055
335,-33616,41699
336,-52022,21209
337,-69396,2776
338,-37633,-47376
339,1278,-57587
340,8442,-47323
341,26861,-53440
342,53459,-17591
343,52410,26429
344,24750,47910
345,-4943,58122
346,-26434,49906
347,-25397,39647
348,-33572,46793
349,-45837,41653
350,-54002,17069
351,-58069,-21832
352,-42688,-48432
353,-34479,-54549
354,-27297,-60663
355,-672,-59609
356,22869,-53438
357,50493,-33965
358,61727,-9384
359,58627,4950
360,62693,9042
361,64710,22344
362,61608,28475
363,47249,35626
364,27780,53009
365,-891,62195
366,-15219,56024
367,-25446,49856
368,-41809,37550
369,-49976,7851
370,-50975,-23881
371,-38668,-49456
372,-29437,-54549
373,-21234,-55545
374,-19176,-60635
375,-16096,-60605
376,4382,-58528
377,28944,-56452
378,48377,-31860
379,60636,-14444
380,61630,-9319
381,60577,6039
382,44172,43906
383,-1907,66402
384,-29540,47947
385,-44878,35642
386,-52020,32555
387,-47900,34587
388,-50947,33547
389,-55016,18179
390,-56012,-15605
391,-32444,-47325
392,-14005,-56513
393,-2739,-58532
394,24897,-60550
395,51496,-28791
396,61706,21375
397,25854,53094
398,-6910,57163
399,-34541,41783
400,-41688,26411
401,-50879,25375
402,-58018,-11483
403,-37519,-48323
404,4463,-58534
405,18790,-49293
406,45392,-35963
407,63793,-14451
408,51480,19332
409,14609,57193
410,-40667,44884
411,-57023,3923
412,-65183,-14501
413,-55939,-16540
414,-58982,-16531
415,-43600,-30851
416,-7756,-64611
417,32165,-49226
418,50573,-39990
419,51572,-35876
420,56665,-17435
421,54591,-26
422,42283,38868
423,-8912,57273
424,-40636,47011
425,-43686,41871
426,-39570,40828
427,-30339,47973
428,-43629,42833
429,-54866,1872
430,-54839,-26786
431,-40483,-50313
432,-38416,-54382
433,-27138,-59472
434,-4607,-63536
435,14842,-65551
436,41446,-45048
437,59849,-25579
438,61867,-17378
439,54673,-26581
440,44412,-41920
441,50532,-39852
442,57672,-30621
443,62762,-18324
444,61708,-7056
445,63725,2159
446,60624,-7053
447,60595,-1932
448,55448,2163
449,52351,21609
450,50279,47186
451,40020,41022
452,59447,19509
453,63512,-1994
454,50176,-12228
455,58340,-17339
456,63430,-24495
457,52141,-26530
458,52116,-26517
459,57209,-35715
460,42853,-45932
461,41809,-43862
462,61236,-33605
463,58136,-8001
464,62202,-21302
465,48867,-39714
466,29397,-58117
467,20172,-64229
468,25280,-56009
469,26292,-57005
470,19115,-63118
471,25247,-61040
472,21141,-57939
473,19084,-59957
474,24193,-52763
475,45675,-51713
476,48724,-35311
477,47677,-28129
478,51748,-30162
479,41488,-47546
480,28163,-59804
481,35314,-50563
482,37344,-48491
483,33232,-42326
484,38334,-47422
485,37292,-55586
486,31133,-45323
487,39306,-49394
488,44405,-44252
489,48478,-30924
490,50502,-35002
491,44337,-44196
492,13611,-54409
493,1322,-67687
494,-5843,-63559
495,-18122,-65574
496,-14019,-55306
497,-16059,-67560
498,-20145,-63433
499,-17064,-63402
500,-8867,-57230
501,2396,-67437
502,14677,-57169
503,25929,-56117
504,28987,-54042
505,7480,-63227
506,3383,-60125
507,4405,-64189
508,-3785,-65181
509,-2759,-56961
510,-10945,-60003
511,-7869,-56903
512,-10935,-51757
513,-25258,-50708
514,-25245,-54777
515,-20115,-62938
516,-658,-61883
517,-13963,-61852
518,-32379,-47492
519,-47715,-36210
520,-50762,-34145
521,-54831,-31057
522,-56851,-38206
523,-53752,-38187
524,-51678,-32027
525,-51652,-29964
526,-54697,-29949
527,-52623,-31981
528,-46456,-45270
529,-32104,-59576
530,-42323,-41123
531,-61748,-16538
532,-62741,21340
533,-50428,37706
534,-42215,41782
535,-39123,41762
536,-20680,50954
537,-27834,56047
538,-30890,60114
539,-26780,60085
540,-26766,45727
541,-48246,38541
542,-52316,25217
543,-54337,23158
544,-48169,33382
545,-38933,46672
546,-28678,63026
547,-25593,58902
548,-14322,55803
549,8202,58847
550,29692,45513
551,36843,34233
552,55249,1464
553,56246,-36406
554,33702,-53787
555,15263,-55807
556,-25684,-54756
557,-56376,-15836
558,-48160,41488
559,-6172,62962
560,28631,50650
561,57276,26062
562,69531,-14890
563,55169,-29211
564,46955,-38408
565,51027,-47600
566,39744,-52694
567,33584,-56762
568,38686,-52640
569,29456,-47496
570,24325,-52590
571,-3321,-61775
572,-12530,-59697
573,-14570,-59667
574,-21727,-55543
575,-39115,-52445
576,-33978,-56513
577,-30890,-58532
578,-41109,-46221
579,-36994,-42104
580,-47210,-47200
581,-46163,-35918
582,-62516,-21571
583,-54297,8122
584,-55293,29612
585,-21490,53139
586,1037,60278
587,30718,62296
588,56291,40773
589,60358,6978
590,56235,-6330
591,61326,-20655
592,54132,-40091
593,39777,-39047
594,41805,-50286
595,31550,-52308
596,31535,-57399
597,14121,-57370
598,8997,-63482
599,6946,-58333
600,7967,-49093
601,3870,-67492
602,19221,-61318
603,42753,-59241
