Sample_Index,Value
0,0
1,0
2,0
3,0
4,1
5,1
6,1
7,3
8,4
9,5
10,7
11,8
12,9
13,9
14,9
15,7
16,7
17,6
18,6
19,5
20,5
21,5
22,3
23,3
24,2
25,2
26,1
27,1
28,0
29,0
30,0
31,0
32,1
33,3
34,5
35,6
36,8
37,9
38,10
39,10
40,11
41,11
42,12
43,14
44,15
45,18
46,20
47,22
48,24
49,25
50,24
51,23
52,21
53,21
54,21
55,21
56,22
57,22
58,24
59,24
60,25
61,25
62,25
63,26
64,27
65,28
66,29
67,30
68,31
69,33
70,33
71,35
72,35
73,36
74,36
75,36
76,37
77,38
78,40
79,40
80,40
81,39
82,38
83,36
84,35
85,34
86,33
87,32
88,32
89,33
90,32
91,32
92,31
93,30
94,28
95,27
96,25
97,23
98,20
99,18
100,18
101,16
102,15
103,13
104,11
105,10
106,11
107,10
108,9
109,6
110,6
111,7
112,8
113,8
114,7
115,10
116,12
117,16
118,19
119,22
120,25
121,28
122,31
123,33
124,33
125,31
126,32
127,33
128,34
129,33
130,32
131,31
132,33
133,35
134,34
135,33
136,30
137,28
138,24
139,20
140,16
141,12
142,8
143,6
144,4
145,1
146,-3
147,-7
148,-9
149,-11
150,-12
151,-16
152,-19
153,-20
154,-19
155,-18
156,-18
157,-18
158,-17
159,-14
160,-11
161,-8
162,-6
163,-3
164,-1
165,2
166,5
167,8
168,11
169,14
170,18
171,21
172,24
173,27
174,29
175,31
176,33
177,34
178,34
179,33
180,32
181,32
182,32
183,34
184,34
185,35
186,35
187,35
188,35
189,33
190,30
191,28
192,26
193,24
194,24
195,22
196,23
197,24
198,26
199,27
200,28
201,28
202,26
203,25
204,23
205,21
206,19
207,18
208,17
209,18
210,18
211,19
212,18
213,16
214,13
215,10
216,7
217,3
218,2
219,-1
220,-3
221,-5
222,-7
223,-10
224,-13
225,-16
226,-19
227,-22
228,-25
229,-28
230,-32
231,-33
232,-35
233,-35
234,-36
235,-37
236,-37
237,-39
238,-39
239,-40
240,-41
241,-41
242,-39
243,-40
244,-39
245,-40
246,-41
247,-42
248,-43
249,-44
250,-46
251,-47
252,-50
253,-51
254,-54
255,-57
256,-61
257,-65
258,-69
259,-73
260,-77
261,-81
262,-85
263,-89
264,-93
265,-98
266,-101
267,-105
268,-108
269,-112
270,-116
271,-120
272,-124
273,-128
274,-132
275,-135
276,-138
277,-140
278,-142
279,-142
280,-143
281,-144
282,-146
283,-148
284,-148
285,-150
286,-151
287,-154
288,-156
289,-158
290,-160
291,-161
292,-163
293,-164
294,-166
295,-168
296,-171
297,-174
298,-178
299,-181
300,-186
301,-190
302,-194
303,-197
304,-201
305,-205
306,-208
307,-212
308,-216
309,-220
310,-223
311,-227
312,-230
313,-234
314,-237
315,-242
316,-246
317,-249
318,-253
319,-256
320,-260
321,-263
322,-267
323,-271
324,-275
325,-280
326,-284
327,-287
328,-290
329,-293
330,-295
331,-298
332,-300
333,-304
334,-308
335,-313
336,-317
337,-321
338,-325
339,-329
340,-333
341,-335
342,-339
343,-341
344,-345
345,-347
346,-350
347,-353
348,-356
349,-360
350,-363
351,-366
352,-369
353,-372
354,-374
355,-377
356,-378
357,-380
358,-381
359,-383
360,-386
361,-388
362,-391
363,-393
364,-396
365,-399
366,-402
367,-405
368,-408
369,-412
370,-415
371,-418
372,-421
373,-424
374,-427
375,-431
376,-434
377,-438
378,-439
379,-442
380,-446
381,-449
382,-453
383,-456
384,-457
385,-459
386,-463
387,-466
388,-468
389,-468
390,-470
391,-473
392,-477
393,-479
394,-479
395,-480
396,-481
397,-482
398,-481
399,-479
400,-476
401,-474
402,-473
403,-473
404,-471
405,-468
406,-465
407,-466
408,-468
409,-467
410,-466
411,-464
412,-466
413,-469
414,-471
415,-471
416,-471
417,-472
418,-474
419,-478
420,-482
421,-485
422,-489
423,-494
424,-498
425,-502
426,-506
427,-510
428,-514
429,-518
430,-523
431,-526
432,-530
433,-533
434,-537
435,-542
436,-546
437,-548
438,-549
439,-550
440,-551
441,-551
442,-549
443,-547
444,-543
445,-542
446,-540
447,-539
448,-538
449,-536
450,-533
451,-531
452,-528
453,-525
454,-521
455,-517
456,-515
457,-513
458,-514
459,-512
460,-512
461,-512
462,-513
463,-514
464,-513
